('citrus fruit', 'semi-finished bread'), 24
('citrus fruit', 'margarine'), 78
('citrus fruit', 'ready soups'), 3
('semi-finished bread', 'citrus fruit'), 24
('semi-finished bread', 'margarine'), 20
('semi-finished bread', 'ready soups'), 4
('margarine', 'citrus fruit'), 78
('margarine', 'semi-finished bread'), 20
('margarine', 'ready soups'), 5
('ready soups', 'citrus fruit'), 3
('ready soups', 'semi-finished bread'), 4
('ready soups', 'margarine'), 5
('yogurt', 'coffee'), 96
('coffee', 'yogurt'), 96
('pip fruit', 'yogurt'), 177
('yogurt', 'pip fruit'), 177
('cream cheese', 'meat spreads'), 11
('meat spreads', 'cream cheese'), 11
('other vegetables', 'whole milk'), 736
('whole milk', 'other vegetables'), 736
('condensed milk', 'long life bakery product'), 8
('long life bakery product', 'condensed milk'), 8
('whole milk', 'butter'), 271
('butter', 'whole milk'), 271
('yogurt', 'rice'), 23
('yogurt', 'abrasive cleaner'), 10
('rice', 'yogurt'), 23
('rice', 'abrasive cleaner'), 3
('abrasive cleaner', 'yogurt'), 10
('abrasive cleaner', 'rice'), 3
('other vegetables', 'UHT-milk'), 80
('other vegetables', 'rolls/buns'), 419
('other vegetables', 'bottled beer'), 159
('other vegetables', 'liquor (appetizer)'), 14
('UHT-milk', 'other vegetables'), 80
('UHT-milk', 'rolls/buns'), 63
('UHT-milk', 'bottled beer'), 24
('UHT-milk', 'liquor (appetizer)'), 5
('rolls/buns', 'other vegetables'), 419
('rolls/buns', 'UHT-milk'), 63
('rolls/buns', 'bottled beer'), 134
('rolls/buns', 'liquor (appetizer)'), 9
('bottled beer', 'other vegetables'), 159
('bottled beer', 'UHT-milk'), 24
('bottled beer', 'rolls/buns'), 134
('bottled beer', 'liquor (appetizer)'), 18
('liquor (appetizer)', 'other vegetables'), 14
('liquor (appetizer)', 'UHT-milk'), 5
('liquor (appetizer)', 'rolls/buns'), 9
('liquor (appetizer)', 'bottled beer'), 18
('whole milk', 'cereals'), 36
('cereals', 'whole milk'), 36
('tropical fruit', 'other vegetables'), 353
('tropical fruit', 'chocolate'), 80
('other vegetables', 'tropical fruit'), 353
('other vegetables', 'chocolate'), 125
('white bread', 'bottled water'), 43
('bottled water', 'white bread'), 43
('chocolate', 'tropical fruit'), 80
('chocolate', 'other vegetables'), 125
('citrus fruit', 'tropical fruit'), 196
('citrus fruit', 'whole milk'), 300
('citrus fruit', 'butter'), 90
('citrus fruit', 'curd'), 70
('citrus fruit', 'flour'), 32
('citrus fruit', 'dishes'), 21
('tropical fruit', 'citrus fruit'), 196
('tropical fruit', 'whole milk'), 416
('tropical fruit', 'butter'), 98
('tropical fruit', 'curd'), 101
('tropical fruit', 'flour'), 32
('tropical fruit', 'dishes'), 19
('whole milk', 'citrus fruit'), 300
('whole milk', 'tropical fruit'), 416
('whole milk', 'curd'), 257
('whole milk', 'flour'), 83
('whole milk', 'dishes'), 52
('butter', 'citrus fruit'), 90
('butter', 'tropical fruit'), 98
('butter', 'curd'), 67
('butter', 'flour'), 22
('butter', 'dishes'), 15
('curd', 'citrus fruit'), 70
('curd', 'tropical fruit'), 101
('curd', 'whole milk'), 257
('curd', 'butter'), 67
('curd', 'flour'), 31
('curd', 'dishes'), 8
('yogurt', 'bottled water'), 226
('flour', 'citrus fruit'), 32
('flour', 'tropical fruit'), 32
('flour', 'whole milk'), 83
('flour', 'butter'), 22
('flour', 'curd'), 31
('flour', 'dishes'), 4
('bottled water', 'yogurt'), 226
('dishes', 'citrus fruit'), 21
('dishes', 'tropical fruit'), 19
('dishes', 'whole milk'), 52
